MV Number - Based on Word count (S - L),Main Cue,Story,Emotional Intensity,Emotion Aversion,Harm,Self Benefit,Other Benefit,Pre-meditated,Illegality,Social Norm Violation,Socialness,Frequency,Personal Familiarity,General Familiarity,Morally Appropriate,Norm Violation Component,Social Affect Component,Intention Component,Word Count
283,Sneaky,I was working at this job that had a very lenient work schedule. So one week I missed a couple of days and they told me that it was okay and I just needed to make up the work. So I tried skipping work again a few months later and I was fired. ,4.07,5.17,3.63,2.33,2.07,4.93,3.27,5.03,5.17,4.53,1.87,3.47,2.73,.58,.36,-.84,53
9,Took Something,"When I was 14-years old, I was living in a foster home. I took twenty dollars out of my foster aunt’s purse without asking her. She was furious and I apologized. ",5.00,4.77,4.53,3.80,2.03,4.07,4.67,5.47,5.63,4.37,2.17,3.63,2.73,.95,.50,-.41,31
96,Took Something,"Back in the late seventies, I was having lunch with my friends at this very nice restaurant. We ordered piña coladas that came in beautiful glasses. So I took two of the glasses and put them in my purse.",3.03,2.77,3.93,5.13,1.53,3.83,5.60,5.30,3.87,4.90,2.73,4.53,2.73,1.25,-1.85,-.03,39
192,Lied,"One particular time in the recent past, my family and I were almost broke. We realized we needed to turn to social services. So, we kind of exaggerated some income figures and I made it appear that there were fewer earnings than there really were.",4.57,4.73,3.87,5.50,2.73,5.67,5.63,5.43,5.33,4.67,1.67,3.70,2.77,.85,.11,1.38,45
5,Cheated,"When I took Spanish in high school, I was a pretty good student. I didn’t like the class much and I didn’t pay attention. So I cheated and I got caught. ",4.27,5.07,2.90,2.90,1.77,4.83,4.03,5.60,4.30,5.20,2.67,4.43,2.77,.81,-.20,-.78,31
122,Sneaky,My mom left me alone one time when she was on vacation. I decided to have a party even though I wasn’t supposed to. I lied to my dad and said that my mom told me I could have the party.,3.53,3.20,3.67,5.07,3.37,5.53,2.87,5.13,5.50,5.23,2.90,4.97,2.77,.23,-.28,1.35,41
23,Cheated,"One time I was playing cards and I didn’t know all the rules. We were playing rummy or poker or something. I’m not a card-playing person, so I cheated to be able to play. ",2.70,3.23,3.50,4.90,1.83,4.10,2.80,5.20,5.40,4.57,2.37,3.50,2.80,.58,-.87,.30,34
107,Regretful,"I left my second marriage and I left my step-kids there too. My youngest stepson has some disabilities, but I left him there. I could not cope with his druggy, drinking father and so I decided to leave everything behind. ",6.13,5.23,5.53,4.43,1.93,5.57,2.73,5.33,6.43,3.40,1.27,2.83,2.83,.61,1.83,.89,40
129,Sneaky,"I was working at a small advertising agency and the owner had his wife on the payroll. She rarely worked and I barely saw her. So, I was curious how much she was getting paid and looked through the record book.",3.13,3.13,2.93,3.93,1.73,4.63,4.20,5.00,4.40,3.20,1.70,3.20,2.83,.70,-1.24,-.10,41
262,Sneaky,"When I was in school, I would pretend to be at home sick. I would have people over and we’d have pizza and watch TV and all that other stuff. If my mom called and I wasn’t there, I would later tell her I went to the store to get soup.",3.33,2.53,2.97,5.23,3.13,5.67,3.37,5.00,5.20,4.73,2.43,3.87,2.83,.20,-.81,1.53,51
238,Sneaky,"When I was about 20 years old I didn’t really want to date just one guy. So I started dating four guys at one time. I snuck around and hung out with each one at different times, but didn’t tell any of them that I was dating the others.",4.37,3.63,4.87,5.33,2.40,5.70,2.07,5.30,6.40,4.40,2.50,4.13,2.83,.34,.70,1.66,49
260,Guilty,"Sometimes I go to the movies, pay to see one movie and then go to a second movie afterwards. I wait until the people at the snack bar aren’t looking and sneak into a second movie. I’ve done it with my daughter a couple of times too and haven’t gotten caught. ",3.30,2.87,3.67,5.53,2.77,5.50,5.20,5.07,4.73,5.17,3.47,4.63,2.83,.71,-1.11,1.40,51
113,Hurtful to Someone,The other day I got into an argument with my mom on the phone. I really don’t like having to face the reality of our dysfunctional relationship. I was really mad at her so I just hung up the phone. ,6.03,5.87,4.87,2.97,1.87,2.57,1.60,4.67,5.83,4.70,2.80,4.50,2.87,.55,1.49,-1.85,40
27,Tempted,I was driving my car and this guy cut me off really badly. We were on the freeway and he gave me the finger. I chased after him in my car for a while. ,5.13,5.17,4.57,2.83,2.10,2.80,4.07,5.07,5.43,5.27,3.40,5.17,2.87,.89,.56,-1.75,34
156,Regretful,I work with a guy at the school that I teach at and he doesn’t teach his classes. He just shows videos and goes into his office and reads. I think that’s wrong but I have never told the administrators at our school.,3.70,4.30,4.33,2.67,2.10,4.70,3.00,4.47,5.37,3.93,2.67,3.77,2.90,.48,.13,-.67,43
30,Took Something,I was on vacation and rented a car. I paid for the parking fee and the guy gave me the wrong change back. I knew he gave me too much but I kept it anyway.,3.03,2.60,4.03,5.33,1.53,2.90,3.77,4.80,5.17,5.00,2.73,4.37,2.90,.83,-1.28,-.17,35
210,Qualms,My friend’s daughter really likes music and asked me if I could make her a CD from the songs on my iPod. The songs that she wanted were not really songs that a young girl should be listening to. But I downloaded the songs for her anyway.,3.17,3.57,4.27,2.17,4.23,4.77,2.37,4.60,5.40,4.17,2.53,3.30,2.93,.03,-.03,-.64,47
193,Guilty,"I was taking a statistics class and the professor’s instructions were very unclear. So, all of the students in the class helped each other on homework assignments and tests. When it came time to take the test we would just give each other the answers. ",3.23,2.77,3.63,5.13,5.03,5.57,4.00,5.30,5.80,4.77,3.23,4.40,2.93,.08,-.42,1.65,45
128,Sneaky,"I went to the movies a couple of months ago, to see a film. When that film was done, instead of leaving the theater, I just went into another of the theaters within the complex. I watched another movie without paying.",2.37,2.03,2.73,5.50,1.40,4.50,4.93,4.50,3.07,5.40,3.77,5.03,2.93,.89,-2.67,.43,41
267,Lied,"Before I was in the actor’s union, I used to lie and say I was in the union anyway. When you are working as an actor doing background work, it really changes how they treat you if you are a union member. So I would pretend I was in the union. ",3.00,2.70,2.80,5.83,1.87,6.03,3.80,5.17,4.80,4.53,1.70,2.77,2.97,.50,-1.19,1.85,51
83,Lied,When I first went to dance school in New York I lied about my age. There is a lot of pressure to be young in the dance industry. I was twenty and told people I was only sixteen.,3.70,3.90,2.90,5.53,2.17,5.60,4.43,5.27,4.70,4.60,1.63,3.00,2.97,.65,-.72,1.28,38
18,Hurtful to Someone,"Instead of contributing more to my mother’s economic stability, by helping her out monetarily in her retirement, I traveled. I spent money on travel, on vacations. Some of that money could’ve gone to her.",4.37,4.00,4.77,5.13,1.63,5.80,1.67,5.20,5.57,3.87,1.73,3.00,2.97,.45,.46,1.32,34
303,Sneaky,"I just moved into a new house and realized that the owners left some large pieces of old pipe in the back yard. The items were much too big to throw in the regular garbage. So when it was dark out, I took the items to the neighbor’s house where they had a huge garbage bin.",2.57,2.97,3.57,5.20,1.80,4.73,3.93,4.83,4.60,4.03,2.50,3.53,2.97,.71,-1.40,.66,56
105,Hurtful to Someone,My friend was always putting down all the men I dated because she was jealous. I confronted her about it and said some really mean comments to her about how no man wants her. I hurt her feelings a lot.,5.80,5.27,5.77,3.17,2.03,4.50,1.63,5.67,5.93,4.23,2.57,3.77,2.97,.62,1.64,-.50,40
15,Embarrassed,"Once when I was little I was caught shoplifting. I stole something small, but the owner of the store saw me and took me up to the front desk. My mother was angry. ",4.60,5.00,4.20,3.30,2.17,3.60,5.10,5.10,4.90,4.53,2.27,4.23,2.97,.98,.01,-1.14,33
110,Took Something,Once I was house-sitting and I took a bottle of perfume from under the sink. I think it belonged to a girl who didn’t live there anymore. I didn’t think anybody wanted it anymore because it was underneath the sink.,2.83,2.80,3.40,5.00,1.90,3.60,4.30,4.90,3.90,3.93,2.13,3.03,3.03,.85,-1.83,-.22,40
187,Tempted,"When I was a football coach, I was often involved with the moms of the kids on the team. There were many mothers that were attractive and made themselves available. I was very tempted to have sex with one mother who came on to me. ",4.40,2.90,3.47,4.53,3.20,4.33,2.60,4.77,5.57,4.10,1.67,3.20,3.03,.11,-.14,.43,45
179,Regretful,I had a cat for two years before someone moved in with me. He didn’t like the cat and he wanted me to get rid of it. So I left the cat at a friend’s house who didn’t even take care of the cat. ,4.77,4.97,4.53,3.17,3.57,4.77,2.60,4.53,5.23,3.97,2.20,3.30,3.03,.24,.73,-.39,44
98,Reckless,A few years ago I was living alone. I had an enormous stereo system in my apartment and I used to turn it up very loud. One night I was drunk and turned it up to its maximum volume. ,2.37,2.43,4.50,3.90,1.53,3.07,3.20,5.47,4.80,4.57,3.43,4.60,3.03,.91,-1.44,-.87,39
149,Sneaky,I was watching a movie at the theater when my girlfriend asked me if I wanted to go see another one. So we snuck out before one movie ended to another movie. So we saw two movies for the price of one. ,2.30,2.30,2.67,5.57,3.20,3.67,4.90,4.70,4.23,5.07,3.50,5.23,3.03,.57,-2.15,.34,42
256,Regretful,"We used to have a built-in swimming pool and my cousins would come swim. One day one of my cousins was getting cold and wanted to leave, and I said that if he did he couldn’t come to swim anymore. He continued swimming and the next day he got really sick. ",3.80,3.73,5.27,2.67,1.47,3.07,1.93,4.53,5.60,3.43,2.27,3.07,3.07,.60,.09,-1.53,51
212,Lied,"I was friends with this guy, Dave, whom my sister was dating. My sister didn’t want me to be friends with Dave because I had dated him once. I lied to my sister that I wasn’t friends with Dave even though I hung out with him regularly. ",4.57,4.03,4.57,4.37,2.97,5.20,1.93,5.23,5.70,4.47,2.33,3.33,3.07,.25,.61,.70,47
77,Qualms,I met this woman on the internet and we became very close. When she came to visit we had sex quite a bit. I didn’t know her health status or if she had any sexually transmitted diseases.,4.70,3.87,3.47,3.87,3.50,4.93,1.70,4.30,5.53,4.97,2.23,4.30,3.07,-.15,.46,.30,37
290,Reckless,"When I divorced my wife she moved out of our house and into a new house with her new boyfriend. She owned the house I lived in and I paid rent. There were some problems with the house that I refused to fix, and I just let the house deteriorate until I moved out. ",4.70,4.47,5.17,3.80,1.57,5.73,3.03,4.80,5.67,3.97,1.60,2.87,3.10,.60,.76,.53,54
120,Guilty,"I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn’t come, so we never made it before he passed away. ",6.20,5.60,4.07,1.93,1.73,3.10,1.70,4.90,5.73,3.27,1.77,3.20,3.10,.40,1.49,-2.05,40
104,Hurtful to Someone,My father is manic-depressive. He was very difficult to deal with and often made life really hard and everyday situations unpleasant. I talked about him in a really negative way because it was so hard for me to deal with.,5.90,5.37,4.77,2.83,1.90,4.50,1.80,4.67,5.30,4.43,2.40,3.63,3.13,.41,1.30,-.85,40
37,Lied,"I work for a data collection agency for market research part-time. I conduct surveys over the phone. I often tell people that it is a brief survey, even though it is actually twenty minutes long. ",2.73,3.30,4.10,4.77,1.97,6.27,2.67,4.83,6.00,5.67,4.10,4.70,3.13,.30,-.20,1.59,35
1,Took Something,"I used to work for the federal government. I used a calculator from work at home for some audits. When I left government services, I kept the calculator.",2.50,2.50,2.83,4.83,1.57,4.20,4.83,4.07,2.63,5.40,3.43,4.77,3.13,.84,-2.63,-.25,28
225,Tempted,I was in the service in Germany and my buddies and I would go to various restaurants and clubs. One night my friends and I went to a whorehouse. I was very tempted to have sex with some of the women for such a small amount of money.,4.17,3.33,2.83,3.80,2.17,3.63,4.00,5.03,5.23,4.53,1.67,3.57,3.17,.49,-.54,-.54,48
170,Guilty,When my sister and I were younger we were playing on a swing set. She was hanging upside down and I told her that I would bet she couldn’t let go. So she let go and she fell five feet to the ground.  ,4.27,4.60,5.43,1.83,1.53,3.00,2.13,4.33,5.70,4.07,2.90,3.73,3.17,.60,.60,-2.10,43
3,Happy,I remember getting married when I was 17 years old. I got married just so I could get away from my mother. I certainly felt relieved to separate myself from her.,5.73,4.13,3.83,5.00,2.87,5.57,1.97,4.43,5.90,3.27,1.53,2.73,3.20,-.05,1.02,1.27,31
134,Guilty,I went out one evening and my daughter had left her perfume sitting out. I took it.  I felt that was not the right thing to do because it actually did not belong to me.  That was not a good memory.,2.77,2.83,3.63,4.73,1.80,2.90,2.93,4.83,4.60,3.63,2.23,3.07,3.20,.65,-1.44,-.63,41
144,Took Something,"When my first husband and I split up, I was seventeen years old with a six-month-old baby and working in a grocery store. Sometimes I would just take things I needed. I remember taking cans of tuna, milk and loaves of bread. ",5.37,4.90,4.03,5.73,3.40,5.63,5.57,5.20,4.73,4.80,1.53,3.57,3.20,.72,.22,1.36,42
216,Responsible,"Last night my partner was feeling really ill. He was shaking and vomiting. I was very nervous so I smoked some marijuana to calm down. I thought this is not right.  If I’m under the influence of anything, I can't respond to him if he gets worse.",4.63,4.40,2.80,5.13,2.37,3.70,5.27,4.20,3.70,4.00,1.97,3.60,3.20,.74,-.99,-.32,47
25,Hurtful to Someone,The other day at breakfast I yelled at my son. It was really early in the morning and he said something disrespectful. So I just burst out at him saying some very hurtful things.,5.63,5.53,5.30,2.17,1.70,2.50,1.93,4.80,5.93,5.30,4.07,4.63,3.20,.62,1.37,-2.25,34
194,Tempted,"A few years ago, I was single and I went to see a friend of mine in the Bahamas. I was extremely attracted to a man I met there who was married. I danced as close to the fire as I could, but I did nothing.",4.20,2.73,3.13,3.83,2.70,3.50,2.20,4.83,5.40,5.30,3.20,4.60,3.23,.12,-.39,-.46,46
300,Sneaky,"I received a very ugly sweater as a gift, which I knew couldn’t have cost more than $15. When I went to the store to exchange it, the salesclerk told me it was $86.  I knew this was incorrect, but I went around the store quickly to pick out something different before they realized the mistake.",3.43,2.73,3.97,5.87,1.63,3.07,4.33,4.47,4.43,4.20,2.83,4.03,3.27,.85,-1.51,.02,56
175,Qualms,"I was working within the insurance branch for this medical company. At one point during my work there, I had to make a decision that would give the company a $100 million write-off. However it cost over 10,000 people within the company their jobs.",5.13,5.07,6.07,3.87,3.03,5.47,2.13,4.07,6.27,3.90,1.37,3.37,3.33,.20,1.56,.53,44
263,Sneaky,"When I was 15 years old, there was this party that I really wanted to go to. My mom wouldn’t let me go, so I snuck out my window. When I came back the window was closed so I had to wake my brother up so he could let me in.",3.97,4.27,2.80,5.03,2.10,5.03,2.87,4.70,5.30,5.23,2.93,4.73,3.37,.25,-.15,.76,51
75,Qualms,"My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband’s wallet to see what the man gave him. ",4.03,3.93,3.30,4.07,2.00,3.87,2.80,4.60,5.00,4.30,2.10,3.30,3.40,.37,-.35,-.45,37
233,Reckless,When I was a sophomore in college I was at a party and got involved in a situation where I had the opportunity to have sex with multiple partners. I had sex with all three of them in the same night. There were no emotional or physical repercussions after. ,4.40,2.87,3.13,4.97,4.10,3.57,2.03,4.73,6.50,3.90,1.97,4.07,3.40,-.26,.18,.49,49
285,Regretful,"I lent my friend a large amount of money to get his car out of impound. He said he would pay me back, but then his wife showed up after several years. She took him for all his money, even the money he set aside for me, and he was embarrassed to tell me. ",4.83,4.93,3.40,2.00,3.33,3.60,3.53,4.40,5.80,3.40,1.73,2.97,3.43,.15,.70,-1.53,54
297,Took Something,"I was in a store with my family. There was a kiosk with a sign saying “Take One”; inside the kiosk was a penknife. My brother convinced me that that was the object that they were giving away, when in reality a brochure was what was free. So I actually stole one of the worker’s penknives.",3.67,3.83,3.70,4.03,2.00,2.53,4.80,4.43,4.73,3.57,2.30,3.17,3.43,.80,-.96,-1.29,56
88,Took Something,"At the gym, a few years back, there was this jacket that was hanging on a hook. I had seen it hanging there for a few weeks and no one claimed it. So I just took the jacket.",2.57,2.40,3.30,5.30,1.37,5.23,4.13,4.23,3.60,4.37,2.87,4.10,3.43,.65,-2.01,.80,38
87,Lied,I was visiting with my grandmother last weekend. I became really tired of talking with her and I wanted to leave. So I told her that I needed to go to work even though I didn’t need to. ,3.73,3.80,3.40,4.90,1.77,3.93,1.80,4.70,5.07,4.87,3.50,4.40,3.43,.31,-.42,.03,38
266,Lied,"Just after Christmas when I was a little boy my parents had to go to a meeting. They told us not to play with the toys that we had received, but we did anyway. When they got home and asked us if we played with our toys we said we didn’t. ",3.50,3.30,2.40,4.73,2.30,4.63,1.80,3.77,4.57,5.10,3.70,4.60,3.43,-.08,-.86,.33,51
133,Tempted,While I was in a relationship I found another man very attractive. I didn’t want to be unfaithful to my partner but I did flirt with this guy a couple of times. I gave him a ride home one day too.,4.20,2.87,3.63,4.27,3.27,4.43,1.80,4.67,5.53,5.40,4.00,5.10,3.43,-.07,-.09,.34,41
142,Lied,"I recently started dating this guy. I have been married three times and told my new boyfriend that I will never marry again. However, I know deep down that I would like to marry again, so I guess that was a lie.",4.87,4.57,3.67,3.07,1.83,4.27,1.63,4.33,5.30,3.83,1.73,3.13,3.47,.16,.55,-.77,42
305,Cheated,"When I was a little kid we used to play the “Seven-up” game at school. You had to put your heads down on a desk, wait until you got tapped on the finger and then guess who tapped you. I always kept my eyes open and looked at the shoes of the person who tapped me.",2.40,2.07,2.37,4.80,1.53,5.43,2.07,4.43,5.03,5.20,3.77,4.40,3.47,.04,-1.35,1.06,56
167,Regretful,My friends and I had made reservations for a large party at a restaurant. Not everyone was showing up and the maitre d’ was getting annoyed. My friend asked me a question and I responded harshly because I was stressed about the situation.,4.77,4.77,4.50,2.33,1.83,2.27,1.43,4.47,5.53,5.40,4.80,5.50,3.47,.38,.60,-2.29,43
137,Lied,"I have had job interviews in the past where I have not mentioned all of my educational training. Particularly, I have omitted the fact that I attended law school. I felt like if they knew that, they’d probably say I was over-qualified.",3.50,3.80,2.67,4.27,2.30,5.80,3.37,4.43,4.47,3.27,1.77,2.97,3.50,.22,-.70,.68,42
234,Guilty,"Right now I am lying to my daughters. I am divorced and in a relationship with this new guy. I don’t want to tell them because even though they are grown women, I’m not sure they are ready for their mom to be with someone other than their dad.",5.37,4.90,3.83,4.17,2.83,5.80,1.73,4.50,6.07,4.67,1.70,3.73,3.50,-.10,1.30,.89,49
295,Lied,I was talking to my brother-in-law about how uncomfortable it was to sleep on a blow up mattress when I stayed at my niece’s house. A few days later I got an e-mail from my niece saying how hurt she was that I didn’t tell her this. I lied and said I never said that. ,4.53,5.03,4.23,3.80,2.80,3.57,1.63,4.60,5.60,4.67,2.97,4.10,3.50,.20,.65,-.74,55
112,Lied,Many times I tell little white lies. Sometimes I give excuses for not being able to do something with friends or family that are not really the truth. I try not to do this but sometimes I can’t help it. ,3.60,4.07,3.90,4.70,1.83,4.63,2.10,4.67,5.37,5.63,4.07,4.90,3.50,.33,-.13,.36,40
292,Sneaky,"I was evaluating whether I should stay in my job, so I took a leave of absence even though I didn't think I wasn’t coming back. One day I received a letter from my boss asking me to tell him if I was coming back. I rushed to the post-office and backdated a resignation letter.",3.90,3.93,3.50,4.53,2.37,4.63,3.07,4.57,4.77,3.53,1.70,2.57,3.53,.35,-.43,.20,55
73,Sneaky,"My husband thinks I shop too much. So now when I go shopping I put the items in the trunk of my car. I take the items out slowly over time, so my husband doesn’t find out. ",3.97,4.07,3.43,4.87,2.27,5.87,1.83,4.43,4.73,4.70,2.70,3.73,3.53,.09,-.14,1.04,37
162,Sneaky,"When I was living in China and attending elementary school, we had to study very hard and go to night classes. Sometimes my friends and I would sneak out of the classroom while the teacher wasn’t in the room. We wouldn’t get caught. ",2.93,2.93,2.30,4.73,3.23,5.10,3.07,4.33,4.70,4.13,2.80,3.80,3.53,-.03,-1.13,.75,43
190,Reckless,"One night I was having sex with my boyfriend. He said that he had a condom on but at the end I found out that he didn’t. I became pregnant and since I just had had a baby recently, I decided to have an abortion.",6.07,5.97,5.20,4.30,3.10,4.53,2.67,4.80,5.87,4.50,1.43,4.17,3.53,.37,1.66,.05,45
55,Hurtful to Someone,"My sister is five years older than I am. When we were little she would always tease me about things. So one day when she was teasing me about something, I threw a pencil at her. ",4.23,3.87,4.50,3.03,1.57,2.67,1.97,4.00,5.27,5.30,4.30,4.83,3.53,.39,-.04,-1.67,36
151,Lied,"I used to have a personal trainer. She was very tall and beautiful. When we would talk about our personal lives I would exaggerate about how many men I’d dated, just to create this image of myself as being this big dater.",3.13,3.23,2.17,4.57,1.67,4.60,1.77,4.17,4.07,4.93,2.40,3.87,3.60,.09,-1.26,.08,42
176,Sneaky,"When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught. ",3.30,3.50,2.70,4.93,2.60,5.40,2.57,4.13,5.30,5.13,2.47,4.73,3.60,-.05,-.50,1.04,44
136,Guilty,"I borrowed a video from some people that I know. I said I would return it to them by Sunday. It is Tuesday and I still haven’t returned the video, but I am hoping to get a chance to return it today.  ",2.50,2.97,3.53,3.27,2.07,3.20,2.50,4.37,5.17,5.70,4.97,5.33,3.63,.29,-1.04,-1.10,42
227,Sneaky,One night I was going out late and I didn’t want my son to know about it. I was a single mom and at that point in time he always seemed to want to act like the parent. So I snuck out of the house to go out. ,4.37,4.33,2.90,4.90,2.40,5.67,2.07,4.33,5.23,3.03,1.33,2.73,3.67,-.05,.18,1.04,48
100,Lied,I had a job working as a server in a restaurant. My co-workers and I would party there after work. Once my boss asked us all where the empty beer bottles came from and I said they were mine. ,3.73,4.47,2.83,2.77,4.40,3.93,3.53,4.07,5.57,4.07,2.40,3.60,3.67,-.14,.04,-.88,39
255,Regretful,"For the past two Christmases we had our family celebration at my sister’s house. I’m not really partial to her husband and their kids are spoiled rotten, which makes for an unpleasant Christmas. So for the last two Christmases in a row, I didn’t go visit that part of my family.",5.00,4.97,3.93,4.40,2.23,6.13,1.50,4.90,5.97,4.83,3.27,4.50,3.67,.02,1.18,1.13,51
58,Took Something,I was playing basketball near a beach. I was hanging out all day when I noticed that there was a basketball that no one had claimed. There was no one around so I took the basketball. ,2.40,2.13,3.23,5.20,1.50,3.20,3.60,3.97,3.30,4.57,3.27,4.47,3.70,.63,-2.47,-.46,36
251,Tempted,"While I was in college, I was in a long distance relationship with a girl. We talked every night on the phone and really tried to make it work. Meanwhile, I was having study sessions with an attractive girl in my class and very tempted to cheat on my girlfriend.",4.67,4.27,3.60,4.07,2.67,4.07,1.83,4.40,5.60,5.33,3.27,4.87,3.70,.02,.42,-.20,50
16,Embarrassed,"I was in an acting class with this girl, and one day she was very upset. She asked me if I would give her a hug. I felt uncomfortable, so I didn’t hug her.",4.57,4.70,4.27,3.03,1.73,2.73,1.40,4.30,5.53,3.20,2.33,2.83,3.73,.28,.47,-1.66,34
28,Unfaithful,When I was nineteen I had a boyfriend for about a year. He moved away and started seeing someone else. I started seeing someone else and I got pregnant. I ended up having an abortion.,5.57,5.40,4.37,4.20,2.93,4.77,2.40,4.17,5.70,4.63,1.57,4.37,3.73,.10,1.21,.14,35
76,Guilty,"My current lover often complains about our sex life, saying we don’t do it enough. Sometimes I will watch online porn and masturbate instead. Sometimes, I feel like it’s just easier and more fun to do that.",4.30,3.53,4.27,5.00,2.30,5.27,2.07,4.33,5.23,4.63,2.33,3.73,3.77,.13,.03,.95,37
163,Lied,"One evening I went out. I told my husband I was going to an audition, but actually, I went out for dinner with a friend of mine. I had to lie, because he would have wanted to go with my friend and me.",4.23,4.33,3.87,5.03,2.53,5.40,1.63,4.93,5.53,4.40,2.73,3.93,3.77,.08,.39,1.03,43
286,Guilty,"I had a party and didn’t invite my friend Anna, because I didn’t think that she would mix well with the other guests. The other guests were all new friends and she was an old friend. I asked one of the attendees not to mention it to her, as he is a mutual acquaintance.",4.03,4.10,4.13,3.87,2.83,5.73,1.60,4.43,5.53,4.63,3.57,4.40,3.77,-.07,.45,.65,54
12,Guilty,I keep promising to take my kids to Disney World. They keep asking me when we are going to go. We still haven’t gone and I still keep telling them we will go.,3.33,3.70,3.60,2.77,2.10,4.73,1.77,3.90,5.77,5.47,3.23,4.43,3.77,-.07,.04,-.44,33
33,Guilty,I ditched school once as a senior. My friend convinced me to ditch school on the last day of the semester. We went to the beach and had lunch. I was concerned about getting caught.,2.73,2.10,2.20,5.17,3.87,4.80,3.30,4.07,4.83,5.80,3.77,5.37,3.77,-.21,-1.46,.98,35
45,Regretful,When I was nineteen I got pregnant. I was with somebody who didn’t really care about me and I really didn’t care for him. So I told him and we decided I should get an abortion.,5.73,5.63,4.80,4.37,3.53,5.40,2.53,4.23,5.90,4.73,1.53,4.47,3.80,.03,1.55,.65,36
215,Lied,"One time I was dating this guy and didn’t want my kids to find out. I was a single mom and didn’t want my kids involved in my personal life. So when they asked me if I was seeing anyone, I lied and told them I wasn’t.",4.90,4.60,3.60,4.63,2.60,5.60,1.80,4.27,5.63,4.17,1.60,2.97,3.87,-.11,.75,.93,47
124,Lied,I had this good friend James who was a really nice guy. Then he got married and kind of changed. I didn’t like his new personality so when he called to hang out I would lie and say I was busy.,4.30,4.37,3.80,4.27,1.90,5.57,1.47,4.13,5.43,5.43,4.03,5.00,3.87,-.02,.44,.64,41
172,Lied,"I used to lie a lot when I was a little girl. My mother left my father when I was a year old. So I used to say that I had a mother and a father, even though my mother and grandmother raised me. ",4.87,4.73,2.40,4.27,1.53,5.60,1.90,4.03,4.27,4.17,1.97,3.17,3.90,.01,.02,.34,44
201,Lied,The other day I found out that my son received a ticket. I was talking to my friend about it over the speakerphone and he walked in the room. He asked me if I was talking about him and I lied and said that I wasn’t.  ,3.63,4.03,3.17,3.77,2.17,2.33,2.00,4.07,5.27,4.67,3.13,3.97,3.90,.15,-.45,-1.46,46
108,Guilty,My friend’s family had a clubhouse in the back of their yard infested with rats. They asked my friend and I if we would kill the rats with shovels. So we went and killed all the baby rats with shovels.,4.60,4.90,3.53,3.07,5.03,5.23,2.23,3.80,4.03,3.10,1.77,2.63,3.93,-.32,.19,-.36,40
243,Lied,"Last year when it was my brother-in-law’s fiftieth birthday, his daughter wanted me to come back to New York for the party. I happened to be in New York at that time anyway, but I showed up at the party as though I had just flown in that day.",3.03,2.50,2.40,4.70,3.60,5.00,1.70,4.10,4.87,3.63,2.00,3.23,3.93,-.40,-.98,.79,49
101,Bittersweet,"I had a sexual encounter with this man named Bill, who was a very strict evangelical Christian. We had been seeing each other for awhile and then had sex. The whole time he was saying how guilty he felt. ",4.90,4.57,3.73,3.63,2.63,4.53,1.83,3.63,5.50,4.20,2.23,3.67,3.93,-.14,.65,-.25,39
258,Tempted,"There’s a chain of Mexican family-owned drive-in type restaurants near where I lived. At the end of each night the lady who owned them went around and did the money collection and the deposits herself. I was tempted to go in her car and steal some of the money, but didn’t. ",3.97,3.57,2.90,3.33,3.23,4.73,3.23,3.90,4.40,3.47,1.70,2.73,3.97,-.04,-.59,-.35,51
114,Took Something,A few years ago I was working for this theater selling tickets. There was this one particular performance where there were a lot of tickets left over. So I took one of the leftover tickets and went to the show. ,2.43,2.30,2.37,5.50,1.83,4.40,4.63,4.07,3.00,4.03,1.77,3.23,3.97,.54,-2.61,.33,40
269,Regretful,"I wish I had stayed connected with the Australian family who hosted me when I was in high school. Although they were kind to me, I was ashamed of being so homesick all the time. I was so glad to get back to the United States that I let the relationship slip.",4.67,4.23,3.10,2.17,2.07,4.20,1.57,3.87,5.53,4.40,2.83,3.67,3.97,-.17,.51,-1.17,52
103,Honest,My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn’t wear the clothes and to stop buying me new stuff. She would get really mad at me.,4.90,4.70,4.07,3.17,1.93,4.57,1.57,4.07,5.20,4.97,3.50,4.17,4.00,.06,.64,-.60,40
279,Lied,I applied for a position at this company. As it turned out the pay was not very good at all for the amount of work that I was doing. So I lied and told the manger that I had another job offer and I would take it unless I got a raise. ,3.23,3.37,2.80,5.27,1.97,5.33,3.17,4.30,4.93,4.57,2.50,4.27,4.00,.15,-.84,1.06,52
10,Regretful,"A drunk driver killed my girlfriend. The night that this happened, my girlfriend and I got in a really big fight. We said goodnight angry and I let her drive home alone.",6.43,6.47,4.50,1.53,1.53,1.63,2.03,3.37,5.77,3.17,1.27,3.20,4.03,.28,1.66,-3.28,32
63,Took Something,"I was in a store and I found something I wanted, but it was expensive. I took it and put it in the box of an item that was cheaper, and I paid for the cheaper item.",4.53,4.63,3.40,4.27,3.93,5.17,4.33,4.30,4.67,2.77,1.50,2.47,4.10,.12,-.03,.35,37
